date,province,positive,dead,cured
2020-03-08,hubei_non_wuhan,17795,616,15248
2020-03-07,hubei_non_wuhan,17795,610,14964
2020-03-06,hubei_non_wuhan,17795,603,14613
2020-03-05,hubei_non_wuhan,17795,597,14174
2020-03-04,hubei_non_wuhan,17926,620,15587
2020-03-03,hubei_non_wuhan,17906,619,15493
2020-03-02,hubei_non_wuhan,17902,607,14818
2020-03-01,hubei_non_wuhan,17981,608,14223
2020-02-29,hubei_non_wuhan,18350,592,13531
2020-02-28,hubei_non_wuhan,18200,595,13042
2020-02-27,hubei_non_wuhan,18090,578,12929
2020-02-26,hubei_non_wuhan,18155,556,11384
2020-02-25,hubei_non_wuhan,18116,572,10548
2020-02-24,hubei_non_wuhan,18179,576,9904
2020-02-23,hubei_non_wuhan,18086,639,8552
2020-02-22,hubei_non_wuhan,18229,572,8021
2020-02-21,hubei_non_wuhan,18108,566,7277
2020-02-20,hubei_non_wuhan,18061,559,6215
2020-02-19,hubei_non_wuhan,18045,532,5347
2020-02-18,hubei_non_wuhan,18930,540,4875
2020-02-17,hubei_non_wuhan,18837,480,4404
2020-02-16,hubei_non_wuhan,18720,463,3702
2020-02-15,hubei_non_wuhan,18335,473,3021
2020-02-14,hubei_non_wuhan,18415,441,2758
2020-02-13,hubei_non_wuhan,18992,282,1940
2020-02-12,hubei_non_wuhan,27605,382,1795
2020-02-11,hubei_non_wuhan,14912,320,1396
2020-02-10,hubei_non_wuhan,14826,293,1178
2020-02-09,hubei_non_wuhan,14649,263,954
2020-02-08,hubei_non_wuhan,13410,235,777
2020-02-07,hubei_non_wuhan,13335,221,617
2020-02-06,hubei_non_wuhan,10494,140,817
2020-02-05,hubei_non_wuhan,9548,135,633
2020-02-04,hubei_non_wuhan,8327,117,520
2020-02-03,hubei_non_wuhan,7138,101,396
2020-02-02,hubei_non_wuhan,6035,85,295
2020-02-01,hubei_non_wuhan,4965,70,215
2020-01-31,hubei_non_wuhan,3938,57,166
2020-01-30,hubei_non_wuhan,3167,45,116
2020-01-29,hubei_non_wuhan,2325,33,90
2020-01-28,hubei_non_wuhan,1649,21,80
2020-01-27,hubei_non_wuhan,1124,15,47
2020-01-26,hubei_non_wuhan,725,13,2
2020-01-25,hubei_non_wuhan,434,7,2
2020-01-24,hubei_non_wuhan,157,1,32
2020-01-23,hubei_non_wuhan,54,24,31
2020-01-19,hubei_non_wuhan,0,0,0
2020-01-18,hubei_non_wuhan,0,0,0
2020-01-17,hubei_non_wuhan,0,0,0
2020-01-16,hubei_non_wuhan,0,0,0
2020-01-15,hubei_non_wuhan,0,0,0
2020-01-14,hubei_non_wuhan,0,0,0
2020-01-13,hubei_non_wuhan,0,0,0
2020-01-12,hubei_non_wuhan,0,0,0
2020-01-11,hubei_non_wuhan,0,0,0
2020-01-10,hubei_non_wuhan,0,0,0
2020-01-09,hubei_non_wuhan,0,0,0
2020-01-08,hubei_non_wuhan,0,0,0
2020-01-07,hubei_non_wuhan,0,0,0
2020-01-06,hubei_non_wuhan,0,0,0
2020-01-05,hubei_non_wuhan,0,0,0
2020-01-04,hubei_non_wuhan,0,0,0
2020-01-03,hubei_non_wuhan,0,0,0
2020-01-02,hubei_non_wuhan,0,0,0
2020-01-01,hubei_non_wuhan,0,0,0
2019-12-31,hubei_non_wuhan,0,0,0
2019-12-30,hubei_non_wuhan,0,0,0
2019-12-29,hubei_non_wuhan,0,0,0
2019-12-28,hubei_non_wuhan,0,0,0
2019-12-27,hubei_non_wuhan,0,0,0
2019-12-26,hubei_non_wuhan,0,0,0
2019-12-25,hubei_non_wuhan,0,0,0
2019-12-24,hubei_non_wuhan,0,0,0
2019-12-23,hubei_non_wuhan,0,0,0
2019-12-22,hubei_non_wuhan,0,0,0
2019-12-21,hubei_non_wuhan,0,0,0
2019-12-20,hubei_non_wuhan,0,0,0
2019-12-19,hubei_non_wuhan,0,0,0
2019-12-18,hubei_non_wuhan,0,0,0
2019-12-17,hubei_non_wuhan,0,0,0
2019-12-16,hubei_non_wuhan,0,0,0
2019-12-15,hubei_non_wuhan,0,0,0
2019-12-14,hubei_non_wuhan,0,0,0
2019-12-13,hubei_non_wuhan,0,0,0
2019-12-12,hubei_non_wuhan,0,0,0
2019-12-11,hubei_non_wuhan,0,0,0
2019-12-10,hubei_non_wuhan,0,0,0
2019-12-09,hubei_non_wuhan,0,0,0
2019-12-08,hubei_non_wuhan,0,0,0
2019-12-07,hubei_non_wuhan,0,0,0
2019-12-06,hubei_non_wuhan,0,0,0
2019-12-05,hubei_non_wuhan,0,0,0
2019-12-04,hubei_non_wuhan,0,0,0
2019-12-03,hubei_non_wuhan,0,0,0
2019-12-02,hubei_non_wuhan,0,0,0
2019-12-01,hubei_non_wuhan,0,0,0
