date;positive;dead;cured;intensive;syntoms;no_syntoms;suspected
2020-1-20;291;6;25;-;;;54
2020-1-21;440;9;28;102;;;37
2020-1-22;571;17;49;95;;;393
2020-1-23;830;25;34;177;;;1072
2020-1-24;1287;41;38;237;;;1965
2020-1-25;1975;56;49;324;;;2684
2020-1-26;2744;80;51;461;;;5794
2020-1-27;4515;106;60;976;;;6973
2020-1-28;5974;132;103;1239;;;9239
2020-1-29;7711;170;124;1370;;;12167
2020-1-30;9692;213;171;1527;;;15238
2020-1-31;11791;259;243;1795;;;17988
2020-2-1;14380;304;328;2110;;;19544
2020-2-2;17205;361;475;2296;;;21558
2020-2-3;20438;425;632;2788;;;23214
2020-2-4;24324;490;892;3219;;;23260
2020-2-5;28018;563;1153;3859;;;24702
2020-2-6;31161;636;1540;4821;;;26359
2020-2-7;34546;722;2050;6101;;;27657
2020-2-8;37198;811;2649;6188;;;28942
2020-2-9;40171;908;3281;6484;;;23589
2020-2-10;42638;1016;3996;7333;;;21675
2020-2-11;44653;1113;4740;8204;;;16067
2020-2-12;59804;1367;5911;8030;;;13435
2020-2-13;63851;1380;6723;10204;;;10109
2020-2-14;66492;1523;8096;11053;;;8969
2020-2-15;68500;1665;9419;11272;;;8228
2020-2-16;70548;1770;10844;10644;;;7264
2020-2-17;72436;1868;12552;11741;;;6242
2020-2-18;74185;2004;14376;11977;;;5248
2020-2-19;74576;2118;16155;11864;;;4922
2020-2-20;75465;2236;18264;11633;;;5206
2020-2-21;76288;2345;20659;11477;;;5365
2020-2-22;76936;2442;22888;10968;;;4148
2020-2-23;77150;2592;24734;9915;;;3434
2020-2-24;77658;2663;27323;9126;;;2824
2020-2-25;78064;2715;29745;8752;;;2491
2020-2-26;78497;2744;32495;8346;;;2358
2020-2-27;78824;2788;36117;7952;;;2308
2020-2-28;79251;2835;39002;7664;;;1418
2020-2-29;79824;2870;41625;7365;;;851
2020-3-1;80026;2912;44462;7110;;;715
2020-3-2;80151;2943;47204;6806;;;587
2020-3-3;80270;2981;49856;6416;;;520
2020-3-4;80409;3012;52045;5952;;;522
2020-3-5;80552;3042;53726;5737;;;482
2020-3-6;80651;3070;55404;5489;;;502
2020-3-7;80695;3097;57065;5264;;;458
2020-3-8;80735;3119;58600;5111;;;421
2020-3-9;80754;3136;59897;4794;;;349
2020-3-10;80778;3158;61475;4492;;;285
2020-3-11;80793;3169;62793;4257;;;253
2020-3-12;80813;3176;64111;4020;;;147
2020-3-13;80824;3189;65541;3610;;;115
2020-3-14;80844;3199;66911;3226;;;113
