date,province,positive,dead,cured
2020-03-16,hubei_non_wuhan,17795,630,16710
2020-03-16,hunan,1018,4,1014
2020-03-16,jiangxi,935,1,934
2020-03-16,fujian,296,1,295
2020-03-16,anhui,990,6,984
2020-03-16,zhejiang,1231,1,1216
2020-03-16,jiangsu,631,0,631
2020-03-16,shanghai,355,3,326
2020-03-16,heilongjiang,482,13,455
2020-03-16,jilin,93,1,92
2020-03-16,liaoning,125,1,115
2020-03-16,neimenggu,75,1,73
2020-03-16,shanxi,133,0,133
2020-03-16,hebei,318,6,310
2020-03-16,tianjin,136,3,133
2020-03-16,henan,1273,22,1250
2020-03-16,wuhan,50003,2469,38424
2020-03-16,shandong,760,7,746
2020-03-16,macau,11,0,10
2020-03-16,xizang,1,0,1
2020-03-16,beijing,452,8,360
2020-03-16,guangxi,252,2,249
2020-03-16,hainan,168,6,160
2020-03-16,chongqing,576,6,570
2020-03-16,sichuan,539,3,516
2020-03-16,yunnan,175,2,172
2020-03-16,guangdong,1361,8,1306
2020-03-16,guizhou,146,2,144
2020-03-16,gansu,133,2,91
2020-03-16,qinghai,18,0,18
2020-03-16,ningxia,75,0,75
2020-03-16,xinjiang,76,3,73
2020-03-16,taiwan,67,1,20
2020-03-16,hongkong ,155,4,84
2020-03-16,shanxi,245,2,233
2020-03-15,beijing,442,8,353
2020-03-15,hainan,168,6,160
2020-03-15,taiwan,53,1,20
2020-03-15,xinjiang,76,3,73
2020-03-15,ningxia,75,0,73
2020-03-15,qinghai,18,0,18
2020-03-15,gansu,133,2,91
2020-03-15,macau,10,0,10
2020-03-15,hongkong ,145,4,81
2020-03-15,yunnan,174,2,172
2020-03-15,guizhou,146,2,143
2020-03-15,sichuan,539,3,515
2020-03-15,guangxi,252,2,245
2020-03-15,chongqing,576,6,570
2020-03-15,tianjin,136,3,133
2020-03-15,guangdong,1360,8,1304
2020-03-15,shanghai,353,3,324
2020-03-15,hunan,1018,4,1014
2020-03-15,shandong,760,7,741
2020-03-15,jiangxi,935,1,934
2020-03-15,fujian,296,1,295
2020-03-15,anhui,990,6,984
2020-03-15,zhejiang,1231,1,1211
2020-03-15,jiangsu,631,0,631
2020-03-15,heilongjiang,482,13,454
2020-03-15,jilin,93,1,92
2020-03-15,liaoning,125,1,114
2020-03-15,neimenggu,75,1,71
2020-03-15,shanxi,133,0,133
2020-03-15,hebei,318,6,310
2020-03-15,xizang,1,0,1
2020-03-15,shanxi,245,2,232
2020-03-15,wuhan,49999,2456,37643
2020-03-15,henan,1273,22,1250
2020-03-15,hubei_non_wuhan,17795,629,16646
2020-03-14,tianjin,136,3,132
2020-03-14,yunnan,174,2,172
2020-03-14,shandong,760,7,741
2020-03-14,hunan,1018,4,1014
2020-03-14,xizang,1,0,1
2020-03-14,hebei,318,6,310
2020-03-14,hainan,168,6,160
2020-03-14,chongqing,576,6,566
2020-03-14,guizhou,146,2,143
2020-03-14,guangdong,1356,8,1299
2020-03-14,fujian,296,1,295
2020-03-14,gansu,132,2,90
2020-03-14,qinghai,18,0,18
2020-03-14,ningxia,75,0,73
2020-03-14,xinjiang,76,3,73
2020-03-14,taiwan,53,1,20
2020-03-14,wuhan,49995,2446,36465
2020-03-14,jiangxi,935,1,934
2020-03-14,sichuan,539,3,512
2020-03-14,anhui,990,6,984
2020-03-14,shanxi,133,0,133
2020-03-14,zhejiang,1227,1,1211
2020-03-14,hubei_non_wuhan,17795,629,16495
2020-03-14,shanxi,245,2,232
2020-03-14,macau,10,0,10
2020-03-14,guangxi,252,2,243
2020-03-14,hongkong ,140,4,78
2020-03-14,beijing,437,8,349
2020-03-14,henan,1273,22,1250
2020-03-14,neimenggu,75,1,71
2020-03-14,liaoning,125,1,113
2020-03-14,jilin,93,1,91
2020-03-14,heilongjiang,482,13,448
2020-03-14,shanghai,352,3,324
2020-03-14,jiangsu,631,0,630
2020-03-13,fujian,296,1,295
2020-03-13,neimenggu,75,1,72
2020-03-13,anhui,990,6,984
2020-03-13,zhejiang,1215,1,1209
2020-03-13,jiangsu,631,0,631
2020-03-13,shanghai,346,3,324
2020-03-13,heilongjiang,482,13,446
2020-03-13,jilin,93,1,91
2020-03-13,liaoning,125,1,112
2020-03-13,macau,10,0,10
2020-03-13,hongkong ,134,4,75
2020-03-13,taiwan,49,1,20
2020-03-13,henan,1273,22,1249
2020-03-13,hainan,168,6,160
2020-03-13,shanxi,245,2,232
2020-03-13,guangdong,1356,8,1297
2020-03-13,xizang,1,0,1
2020-03-13,hubei_non_wuhan,17795,626,16367
2020-03-13,shandong,760,7,739
2020-03-13,jiangxi,935,1,934
2020-03-13,shanxi,133,0,133
2020-03-13,hunan,1018,4,1005
2020-03-13,beijing,436,8,342
2020-03-13,wuhan,49991,2436,35197
2020-03-13,chongqing,576,6,564
2020-03-13,guangxi,252,2,243
2020-03-13,xinjiang,76,3,73
2020-03-13,yunnan,174,2,170
2020-03-13,sichuan,539,3,504
2020-03-13,gansu,127,2,89
2020-03-13,qinghai,18,0,18
2020-03-13,ningxia,75,0,72
2020-03-13,guizhou,146,2,140
2020-03-13,tianjin,136,3,132
2020-03-13,hebei,318,6,310
2020-03-12,hebei,318,6,308
2020-03-12,zhejiang,1216,1,1209
2020-03-12,anhui,990,6,984
2020-03-12,fujian,296,1,295
2020-03-12,jiangxi,935,1,934
2020-03-12,shandong,760,6,734
2020-03-12,hunan,1018,4,999
2020-03-12,xizang,1,0,1
2020-03-12,gansu,127,2,88
2020-03-12,shanxi,133,0,132
2020-03-12,neimenggu,75,1,71
2020-03-12,xinjiang,76,3,73
2020-03-12,yunnan,174,2,170
2020-03-12,guangdong,1356,8,1289
2020-03-12,shanghai,344,3,321
2020-03-12,chongqing,576,6,554
2020-03-12,ningxia,75,0,72
2020-03-12,jiangsu,631,0,629
2020-03-12,heilongjiang,482,13,441
2020-03-12,wuhan,49986,2430,34094
2020-03-12,shanxi,245,2,232
2020-03-12,macau,10,0,10
2020-03-12,taiwan,49,1,17
2020-03-12,jilin,93,1,92
2020-03-12,hubei_non_wuhan,17795,626,16222
2020-03-12,henan,1273,22,1249
2020-03-12,tianjin,136,3,132
2020-03-12,hongkong ,131,3,67
2020-03-12,guangxi,252,2,244
2020-03-12,hainan,168,6,160
2020-03-12,beijing,435,8,334
2020-03-12,qinghai,18,0,18
2020-03-12,sichuan,539,3,495
2020-03-12,guizhou,146,2,137
2020-03-12,liaoning,125,1,112
2020-03-11,jiangsu,631,0,627
2020-03-11,shandong,760,6,726
2020-03-11,jiangxi,935,1,932
2020-03-11,fujian,296,1,295
2020-03-11,anhui,990,6,984
2020-03-11,henan,1273,22,1249
2020-03-11,zhejiang,1215,1,1207
2020-03-11,shanxi,133,0,131
2020-03-11,shanghai,344,3,320
2020-03-11,heilongjiang,482,13,435
2020-03-11,jilin,93,1,91
