date,province,positive,dead,cured
2020-03-30,wuhan,50006,2547,45733
2020-03-29,wuhan,50006,2543,45418
2020-03-28,wuhan,50006,2538,44951
2020-03-27,wuhan,50006,2535,44591
2020-03-26,wuhan,50006,2531,44068
2020-03-25,wuhan,50006,2526,43686
2020-03-24,wuhan,50006,2524,43214
2020-03-23,wuhan,50005,2517,42788
2020-03-22,wuhan,50005,2508,42354
2020-03-21,wuhan,50005,2504,41891
2020-03-20,wuhan,50005,2498,41440
2020-03-19,wuhan,50005,2496,40765
2020-03-18,wuhan,50005,2490,40032
2020-03-17,wuhan,50004,2480,39220
2020-03-16,wuhan,50003,2469,38424
2020-03-15,wuhan,49999,2456,37643
2020-03-14,wuhan,49995,2446,36465
2020-03-13,wuhan,49991,2436,35197
2020-03-12,wuhan,49986,2430,34094
2020-03-11,wuhan,49978,2423,33117
2020-03-10,wuhan,49965,2404,31974
2020-03-09,wuhan,49948,2389,30985
2020-03-08,wuhan,49912,2370,29908
2020-03-07,wuhan,49871,2349,28563
2020-03-06,wuhan,49797,2328,27420
2020-03-05,wuhan,49671,2305,26404
2020-03-04,wuhan,49540,2282,24892
2020-03-03,wuhan,49426,2252,23063
2020-03-02,wuhan,49315,2227,21349
2020-03-01,wuhan,49122,2195,19534
2020-02-29,wuhan,48557,2169,17656
2020-02-28,wuhan,48137,2132,15853
2020-02-27,wuhan,47824,2104,13474
2020-02-26,wuhan,47441,2085,11816
2020-02-25,wuhan,47071,2043,10364
2020-02-24,wuhan,46607,1987,8950
2020-02-23,wuhan,46201,1856,8186
2020-02-22,wuhan,45660,1774,7278
2020-02-21,wuhan,45346,1684,6280
2020-02-20,wuhan,45027,1585,5573
2020-02-19,wuhan,44412,1497,4990
2020-02-18,wuhan,42752,1381,4253
2020-02-17,wuhan,41152,1309,3458
2020-02-16,wuhan,39462,1233,2937
2020-02-15,wuhan,37914,1123,2602
2020-02-14,wuhan,35991,1016,2016
2020-02-13,wuhan,32994,1036,1922
2020-02-12,wuhan,19558,820,1377
2020-02-11,wuhan,18454,748,1243
2020-02-10,wuhan,16902,681,1044
2020-02-09,wuhan,14982,608,841
2020-02-08,wuhan,13603,545,662
2020-02-07,wuhan,11618,478,498
2020-02-06,wuhan,11618,478,0
2020-02-05,wuhan,10117,414,0
2020-02-04,wuhan,8351,362,0
2020-02-03,wuhan,6384,313,0
2020-02-02,wuhan,5142,265,0
2020-02-01,wuhan,4109,224,0
2020-01-31,wuhan,3215,192,0
2020-01-30,wuhan,2639,159,0
2020-01-29,wuhan,2261,129,0
2020-01-28,wuhan,1905,104,0
2020-01-27,wuhan,1590,85,0
2020-01-26,wuhan,698,63,42
2020-01-25,wuhan,618,45,40
2020-01-24,wuhan,572,38,0
2020-01-23,wuhan,495,0,0
2020-01-19,wuhan,198,3,25
2020-01-18,wuhan,121,3,24
2020-01-17,wuhan,62,2,19
2020-01-16,wuhan,45,2,15
2020-01-15,wuhan,41,2,12
2020-01-14,wuhan,41,1,7
2020-01-13,wuhan,41,1,7
2020-01-12,wuhan,41,1,7
2020-01-11,wuhan,41,1,6
2020-01-10,wuhan,41,1,2
2020-01-09,wuhan,41,0,0
2020-01-08,wuhan,41,0,0
2020-01-07,wuhan,41,0,0
2020-01-06,wuhan,41,0,0
2020-01-05,wuhan,41,0,0
2020-01-04,wuhan,41,0,0
2020-01-03,wuhan,41,0,0
2020-01-02,wuhan,44,0,0
2020-01-01,wuhan,43,0,0
2019-12-31,wuhan,40,0,0
2019-12-30,wuhan,37,0,0
2019-12-29,wuhan,37,0,0
2019-12-28,wuhan,37,0,0
2019-12-27,wuhan,37,0,0
2019-12-26,wuhan,35,0,0
2019-12-25,wuhan,33,0,0
2019-12-24,wuhan,30,0,0
2019-12-23,wuhan,29,0,0
2019-12-22,wuhan,21,0,0
2019-12-21,wuhan,18,0,0
2019-12-20,wuhan,14,0,0
2019-12-19,wuhan,9,0,0
2019-12-18,wuhan,8,0,0
2019-12-17,wuhan,7,0,0
2019-12-16,wuhan,6,0,0
2019-12-15,wuhan,6,0,0
2019-12-14,wuhan,4,0,0
2019-12-13,wuhan,4,0,0
2019-12-12,wuhan,4,0,0
2019-12-11,wuhan,4,0,0
2019-12-10,wuhan,1,0,0
2019-12-09,wuhan,1,0,0
2019-12-08,wuhan,1,0,0
2019-12-07,wuhan,1,0,0
2019-12-06,wuhan,1,0,0
2019-12-05,wuhan,1,0,0
2019-12-04,wuhan,1,0,0
2019-12-03,wuhan,1,0,0
2019-12-02,wuhan,1,0,0
2019-12-01,wuhan,1,0,0
