date,region,positive,dead,cured
2020-03-22,Lombardia ,17885.0,3456.0,5865.0
2020-03-22,Emilia Romagna ,6390.0,816.0,349.0
2020-03-22,Veneto ,4644.0,169.0,309.0
2020-03-22,Piemonte ,4127.0,283.0,10.0
2020-03-22,Marche ,2231.0,184.0,6.0
2020-03-22,Toscana ,2144.0,91.0,42.0
2020-03-22,Liguria ,1351.0,171.0,143.0
2020-03-22,Lazio ,1272.0,53.0,58.0
2020-03-22,Trento ,885.0,35.0,34.0
2020-03-22,Campania ,866.0,29.0,41.0
2020-03-22,Puglia ,748.0,31.0,7.0
2020-03-22,Friuli V.G. ,738.0,47.0,89.0
2020-03-22,Bolzano ,648.0,23.0,7.0
2020-03-22,Sicilia ,596.0,8.0,26.0
2020-03-22,Abruzzo ,539.0,33.0,15.0
2020-03-22,Umbria ,500.0,16.0,5.0
2020-03-22,Valle d'Aosta ,354.0,9.0,1.0
2020-03-22,Sardegna ,327.0,7.0,5.0
2020-03-22,Calabria ,260.0,8.0,5.0
2020-03-22,Basilicata ,81.0,,
2020-03-22,Molise ,52.0,7.0,7.0
2020-03-21,Lombardia ,17370.0,3095.0,5050.0
2020-03-21,Emilia Romagna ,5661.0,715.0,329.0
2020-03-21,Veneto ,4214.0,146.0,257.0
2020-03-21,Piemonte ,3506.0,238.0,8.0
2020-03-21,Marche ,1997.0,154.0,2.0
2020-03-21,Toscana ,1905.0,72.0,35.0
2020-03-21,Liguria ,1159.0,152.0,125.0
2020-03-21,Lazio ,1086.0,50.0,54.0
2020-03-21,Campania ,793.0,22.0,29.0
2020-03-21,Trento ,720.0,28.0,34.0
2020-03-21,Friuli V.G. ,666.0,42.0,82.0
2020-03-21,Puglia ,642.0,29.0,4.0
2020-03-21,Bolzano ,600.0,20.0,1.0
2020-03-21,Abruzzo ,494.0,22.0,13.0
2020-03-21,Sicilia ,458.0,6.0,26.0
2020-03-21,Umbria ,447.0,10.0,5.0
2020-03-21,Sardegna ,321.0,4.0,5.0
2020-03-21,Valle d'Aosta ,304.0,8.0,1.0
2020-03-21,Calabria ,225.0,5.0,5.0
2020-03-21,Basilicata ,66.0,,
2020-03-21,Molise ,47.0,7.0,7.0
2020-03-20,Lombardia ,15420.0,2549.0,4295.0
2020-03-20,Emilia Romagna ,5089.0,640.0,239.0
2020-03-20,Veneto ,3677.0,131.0,223.0
2020-03-20,Piemonte ,3244.0,209.0,8.0
2020-03-20,Marche ,1844.0,137.0,
2020-03-20,Toscana ,1713.0,47.0,33.0
2020-03-20,Liguria ,1001.0,119.0,101.0
2020-03-20,Lazio ,912.0,43.0,53.0
